Role,Dialogue
사기범,바로 잡아드리겠습니다. 주민 번호 좀.. 아 지금 녹취 시작하겠습니다. 예 주민 번호 좀 다 불러주세요.
피해자,OOOOOO
사기범,네 OOOOO번이시구요.
피해자,네
사기범,저희쪽으로 론 플래너 방문이나 등기 우편 받으실 주소 좀 불러주세요.
피해자,아 등기 받을 주소요?
사기범,네
피해자,OOOOOO
사기범,저희 쪽 대출금 받아 보실 계좌 번호 좀 불러주세요.
피해자,농협이고요.
사기범,농협 은행 이시고요.
피해자,OOOOOO
사기범,OOO고객님 맞으시죠?
피해자,네
사기범,네 농협 은행 이시고 OOO 맞으시고요?
피해자,네
사기범,네 저희 쪽 상환하실 날짜 좀 결정해 주시겠어요? 오일 단위로 가능하십니다.
피해자,이십오 일이요.
사기범,매달 이십오 일이요?
피해자,네
사기범,이십오 일로 잡히셨구요. 고객님 대출에 대해서 인제세 부분 110만원이 발생이 되시는데요.
피해자,그건 못 들었는데.
사기범,네 고객님 설명드릴게요.
피해자,네
사기범,이거 같은 경우 에는 고객님께서 뭐 백 십만 원을 저희 쪽으로 주셔야 대출 건이 나가시는 것도 아니시구요.
피해자,네
사기범,대출건을 나가실 때 백10만 원이 제외되고 나가신 건 아니세요. 쉽게 설명해서 고객님께서 부담하신 금액은 없으시고요.
피해자,아 예
사기범,금융권에서 대신 고객님한테 대출 건 내어드리기 위해서 책임 신고 처리하는 건데 고객님 명의로 신고 처리하는 부분 때문에 고객님 동의를 구하는 거예요. 동의하십니까?
피해자,아 네
사기범,네 그러시면 신고 처리해드릴게요. 잠시만요. 예 신고 처리해드렸구요. 많에 하나 저희 쪽에서 대출건이 못 나가시는 상황이 발생이 되시면은 이 인지세 부분 백십만원 같은 경우 에는 부결 접수 올려서 환급 절차 진행되시면 문제되시는 부분 전혀 없으시고요.
피해자,네
사기범,"그리고 승인하신, 잠시만요. 지금 한시 삼십칠분 정도 되셨는데 늦어도 두시 오십분까지 송금 처리 완료되실 거예요."
피해자,네
사기범,"그때 농협 쪽으로 잔액 확인해보시면 되시고요. 자금 같은 경우 에는 1,000만원에 십구 프로 6십개월 승인 처리 나셨구요. 저는 삼성 저축 은행 송금 팀장 이권성 팀장이었습니다."
피해자,아 좀 달라졌네요?
사기범,저희쪽 승인나신 자금은 이렇게 승인이 나셨거든요?
피해자,아 천만원이요?
사기범,예 천만원에 십구 프로 6십개월 승인 처리 나셨구요
피해자,네
사기범,저는 삼성 저축 은행 솜금 팀장 이권성 팀장이었습니다.
피해자,네 알겠습니다
사기범,네 감사합니다
