Role,Dialogue
고객,기프트 카드 중에 실물이 없어도 사용 가능한 게 있나요?
상담사,"네, 최근에 발매된 이 기프트 카드 사용하시면 됩니다."
고객,편의점에서 구매 가능한가요?
상담사,온라인 가맹점에서는 이용 가능합니다.
고객,모든 편의점에서 이용이 불가능한가요?
상담사,"네, 현재는 CU 와 GS25만 가능합니다."
고객,에서 구매 가능한가요?
상담사,"네, 가능합니다."
고객,그렇군요.
상담사,온라인으로 구매하면 배송비나 이런 게 있는 건가요?
고객,아니요.
상담사,실물이 없는 것이라서 별도의 배송비는 없습니다.
고객,"아, 그렇군요."
상담사,그럼 어떻게 되는 거죠?
고객,어플을 까시고 본인 인증 후 구매한 금액을 어플을 통해서 이용하시게 됩니다.
상담사,"아, 그렇군요."
고객,혹시라도 나중에 환불 신청 가능한가요?
상담사,사용 전이시라면 가능합니다.
고객,사용 후에는 환불 불가능한가요?
상담사,"네, 사용 이후에 남은 잔액의 환불은 불가합니다."
고객,알겠습니다.
상담사,"네, 더 도움이 필요하신 내용이 있으신가요?"
고객,혹시 잔액을 타인에게 양도할 수 있나요?
상담사,"네, 구매자 간에 선물하기로 가능하십니다."
고객,
